"Mppcv";"Mppnm_";"Link2MPG";"Link2PVT"
"3025400";"Eylea 40 mg / 1 ml inj. oploss. i.vitr. [flac.] 1 x 4 mg / 0,1 ml";"http://www.bcfi.be/nl/contents/jump?amppid=72637";"http://www.bcfi.be/nl/contents/jump?amppid=72637&view=pvt"
"3025392";"Eylea 40 mg / 1 ml inj. oploss. i.vitr. [voorgev. spuit] 1 x 3,6 mg / 0,09 ml";"http://www.bcfi.be/nl/contents/jump?amppid=171116";"http://www.bcfi.be/nl/contents/jump?amppid=171116&view=pvt"
"4219853";"Ezetimib AB tabl. 28 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=175950";"http://www.bcfi.be/nl/contents/jump?amppid=175950&view=pvt"
"4219861";"Ezetimib AB tabl. 98 x 10 mg";"http://www.bcfi.be/nl/contents/jump?amppid=175968";"http://www.bcfi.be/nl/contents/jump?amppid=175968&view=pvt"
"4851655";"Ezetimibe / Atorvastatine EG 10/10 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=197269";"http://www.bcfi.be/nl/contents/jump?amppid=197269&view=pvt"
"4851663";"Ezetimibe / Atorvastatine EG 10/20 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=197277";"http://www.bcfi.be/nl/contents/jump?amppid=197277&view=pvt"
"4851671";"Ezetimibe / Atorvastatine EG 10/40 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=197285";"http://www.bcfi.be/nl/contents/jump?amppid=197285&view=pvt"
"4851689";"Ezetimibe / Atorvastatine EG 10/80 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=197293";"http://www.bcfi.be/nl/contents/jump?amppid=197293&view=pvt"
"4502456";"Ezetimibe / Atorvastatine Teva 10/10 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=187690";"http://www.bcfi.be/nl/contents/jump?amppid=187690&view=pvt"
"4502449";"Ezetimibe / Atorvastatine Teva 10/20 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=187708";"http://www.bcfi.be/nl/contents/jump?amppid=187708&view=pvt"
"4502464";"Ezetimibe / Atorvastatine Teva 10/40 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=187716";"http://www.bcfi.be/nl/contents/jump?amppid=187716&view=pvt"
"4502472";"Ezetimibe / Atorvastatine Teva 10/80 filmomh. tabl. 100 x";"http://www.bcfi.be/nl/contents/jump?amppid=187724";"http://www.bcfi.be/nl/contents/jump?amppid=187724&view=pvt"
