"GalCV";"NGalNm";"FGalNm";"Amb";"Hosp"
"00210";"cut. oploss. (alc.) Hydroalcoholische";"sol. cut. (alc.) Hydroalcoolique";true;false
"00211";"inj./inf. oploss. (pdr. + solv.) i.v./s.c. [flac. + voorgev. spuit]";"sol. inj./perf. (pdr + solv.) i.v./s.c. [flac. + ser. préremplie]";true;false
"00212";"dosisaerosol susp. [inhalator]";"susp. inhal. (flacon press.) [inhalateur]";true;false
"00213";"laryngofar./oromuc. spray oploss.";"sol. spray laryngophar./oromuq.";true;false
"00214";"inj. susp. verl. afgifte i.artic./i.laes./i.burs./p.artic. [flac.]";"susp. inj. lib. prol. i.artic./i.lés./i.burs./p.artic. [flac.]";true;false
"00215";"urethr. gel (unidose)";"gel (unidose) urétr.";true;false
"00216";"inj. oploss. i.v./s.c./epidur. [amp.]";"sol. inj. i.v./s.c./p.dural [amp.]";true;false
"00217";"auric. druppels oploss.";"gtts sol. auric.";true;false
"00218";"cut. medic. pleister Patch";"emplâtre médic. cut. Patch";true;false
"00219";"cut./rect. zalf";"pommade cut./rect.";true;false
"00220";"cut. medic. pleister";"emplâtre médic. cut.";true;false
"00221";"inf. oploss. i.v. [zak]";"sol. perf. i.v. [sac]";true;false
"00222";"i.uter. afleveringssysteem";"système de diffusion i.utér.";true;false
"00223";"susp. (zakjes)";"susp. (sachet)";true;false
"00224";"inj. oploss. (pdr. + solv.) s.c. [flac. + voorgev. spuit]";"sol. inj. (pdr + solv.) s.c. [flac. + ser. préremplie]";true;false
"00225";"inf. oploss. conc. (pdr. + solv.) i.v./i.arter. [2x flac.]";"sol. perf. à diluer (pdr + solv.) i.v./i.artér. [2x flac.]";true;false
"00226";"rect. schuim Foam";"mousse rect. Foam";true;false
"00227";"rect. susp.";"susp. rect.";true;false
"00228";"inj. oploss. epidur./p.neur. [flac., locoregionale infiltr.]";"sol. inj. p.dural/p.neur. [flac., infiltr. locorégionale]";true;false
"00229";"oploss. (pdr., zakjes) Junior";"sol. (pdr, sachet) Junior";true;false
"00230";"inj./inf. oploss. (pdr. + solv.) i.m./i.v. [2x flac.]";"sol. inj./perf. (pdr + solv.) i.m./i.v. [2x flac.]";true;false
"00231";"inj./inf. oploss. i.m./i.v./i.thec./i.arter./i.ventr. [flac.]";"sol. inj./perf. i.m./i.v./i.théc./i.artér./i.ventr. [flac.]";true;false
"00232";"inj./inf. oploss. (pdr. + solv.) i.m./i.v. S.A.B. [flac., Act-O-Vial]";"sol. inj./perf. (pdr + solv.) i.m./i.v. S.A.B. [flac., Act-O-Vial]";true;false
"00233";"inj./inf. oploss. (pdr. + solv.) i.m./i.v. S.A.B. [flac. + amp.]";"sol. inj./perf. (pdr + solv.) i.m./i.v. S.A.B. [flac. + amp.]";true;false
"00234";"cut. pasta";"pâte cut.";true;false
"00235";"cut. poeder";"poudre cut.";true;false
"00236";"cut. spray pdr.";"poudre spray cut.";true;false
"00237";"tabl. (deelb. in 4 niet kwantit.)";"compr. (séc. en 4 non quantit.)";true;false
"00238";"inj. oploss./inf. oploss. (conc.) i.m./i.v./i.thec./i.arter./i.ventr. [flac.]";"sol. inj./sol. perf. à diluer i.m./i.v./i.théc./i.artér./i.ventr. [flac.]";true;false
"00239";"oromuc. gel";"gel oromuq.";true;false
"00240";"inj./instill. susp. verl. afgifte i.m./i.artic./i.laes./i.burs./p.artic./rect. [flac.]";"susp. inj./instill. lib. prol. i.m./i.artic./i.lés./i.burs./p.artic./rect. [flac.]";true;false
"00241";"tabl. verl. afgifte (deelb. kwantit.) Retard";"compr. lib. prol. (séc. quantit.) Retard";true;false
"00242";"inj./inf./instill. oploss. i.m./i.v./rect. [amp.]";"sol. inj./perf./instill. i.m./i.v./rect. [amp.]";true;false
"00243";"orodisp. tabl. SolTab";"compr. orodisp. SolTab";true;false
"00244";"nas. zalf";"pommade nas.";true;false
"00245";"inj. oploss. i.m. [amp.]";"sol. inj. i.m. [amp.]";true;false
"00246";"medic. kauwgom Freshmint";"gomme à mâcher médic. Freshmint";true;false
"00247";"medic. kauwgom";"gomme à mâcher médic.";true;false
"00248";"medic. kauwgom Fruit";"gomme à mâcher médic. Fruit";true;false
"00249";"zalf Soluble Dressing";"pommade Soluble Dressing";true;false
"00250";"inj. oploss. i.m./i.v. [flac.]";"sol. inj. i.m./i.v. [flac.]";true;false
"00251";"inf. oploss. conc. (pdr. + solv.) i.v. [2x flac.]";"sol. perf. à diluer (pdr + solv.) i.v. [2x flac.]";true;false
"00252";"oromuc. zuigtabl. Freshmint";"compr. à sucer oromuq. Freshmint";true;false
"00253";"tabl. Forte";"compr. Forte";true;false
"00254";"medic. kauwgom Cool Mint";"gomme à mâcher médic. Cool Mint";true;false
"00255";"orodisp. tabl. Velotab";"compr. orodisp. Velotab";true;false
"00256";"inj. oploss. verl. afgifte s.c. [voorgev. spuit]";"sol. inj. lib. prol. s.c. [ser. préremplie]";true;false
"00257";"inj. oploss./inf. oploss. (conc.) i.m./i.v. [amp.]";"sol. inj./sol. perf. à diluer i.m./i.v. [amp.]";true;false
"00258";"inj. oploss./inf. oploss. (conc.) i.v. [amp.]";"sol. inj./sol. perf. à diluer i.v. [amp.]";true;false
"00259";"verband";"pansement";true;false
"00260";"zetpil Volw.";"supp. Adulte";true;false
"00261";"bruistabl.";"compr. efferv.";true;false
"00262";"zetpil Pediatrie";"supp. Pédiatrique";true;false
"00263";"bruistabl. (deelb. kwantit.)";"compr. efferv. (séc. quantit.)";true;false
"00264";"filmomh. tabl. (deelb. niet kwantit.) Forte";"compr. pellic. (séc. non quantit.) Forte";true;false
"00265";"zetpil Baby’s";"supp. Bébés";true;false
"00266";"zetpil Kleuters";"supp. Jeunes Enfants";true;false
"00267";"orodisp. tabl. Odis";"compr. orodisp. Odis";true;false
"00268";"or. gel";"gel or.";true;false
"00269";"inj. oploss. s.c. [amp.]";"sol. inj. s.c. [amp.]";true;false
"00270";"zetpil Volwassenen";"supp. Adultes";true;false
"00271";"inj./inf./verneveloploss. (pdr.) i.m./i.v./inhal. [flac.]";"sol. inj./perf./inhal. nébul. (pdr) i.m./i.v./inhal. [flac.]";true;false
"00272";"inj. oploss. i.v./s.mucos. [amp.]";"sol. inj. i.v./s.muq. [amp.]";true;false
"00273";"zachte caps. or.";"caps. molle or.";true;false
"00274";"vag. zachte caps.";"caps. molle vag.";true;false
"00275";"inj./inf. emuls. i.v. [flac.]";"émuls. inj./perf. i.v. [flac.]";true;false
"00276";"inj./inf. emuls. i.v. [voorgev. spuit]";"émuls. inj./perf. i.v. [ser. préremplie]";true;false
"00277";"inj./inf. emuls. i.v. [amp.]";"émuls. inj./perf. i.v. [amp.]";true;false
"00278";"inf. oploss. conc. (pdr. + solv.) i.v. [flac. + amp.]";"sol. perf. à diluer (pdr + solv.) i.v. [flac. + amp.]";true;false
"00279";"inj./inf. oploss. conc. (pdr.) i.v. [flac.]";"sol. inj./perf. à diluer (pdr) i.v. [flac.]";true;false
"00280";"inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]";"sol. perf. (pdr + solv.) i.v. [flac. + amp.]";true;false
"00281";"filmomh. tabl. Wekelijks";"compr. pellic. Hebdomadaire";true;false
"00282";"gingiv./oromuc. oploss.";"sol. gingiv./oromuq.";true;false
"00283";"lyofilisaat Lyo";"lyophilisat Lyo";true;false
"00284";"harde caps. geregul. afgifte";"gél. lib. modif.";true;false
"00285";"dosisaerosol oploss. [inhalator]";"sol. inhal. (flacon press.) [inhalateur]";true;false
"00286";"dosisaerosol susp. Evohaler";"susp. inhal. (flacon press.) Evohaler";true;false
"00287";"inhalatiepdr. (harde caps.) [Aerolizer]";"poudre inhal. (gél.) [Aerolizer]";true;false
"00288";"inhalatiepdr. (harde caps.) [inhalator]";"poudre inhal. (gél.) [inhalateur]";true;false
"00289";"inf. oploss. (pdr. + solv.) i.v. [2x flac.]";"sol. perf. (pdr + solv.) i.v. [2x flac.]";true;false
"00290";"disp. tabl. Instant";"compr. disp. Instant";true;false
"00291";"inj. oploss. s.c. [patr.] voor Genotonorm Pen 12";"sol. inj. (pdr + solv.) s.c. [cart.] pour Genotonorm Pen 12";true;false
"00292";"inj. oploss. s.c. [patr.] voor Genotonorm Pen 5,3";"sol. inj. (pdr + solv.) s.c. [cart.] pour Genotonorm Pen 5,3";true;false
"00293";"bruistabl. (deelb. niet kwantit.)";"compr. efferv. (séc. non quantit.)";true;false
"00294";"verband Lite";"pansement Lite";true;false
"00295";"maagsapresist. tabl. E.C.";"compr. gastro-résist. E.C.";true;false
"00296";"verband Border Sacrum";"pansement Border Sacrum";true;false
"00297";"verband Multishape";"pansement Multishape";true;false
"00298";"instill. susp. endotrach.";"susp. instill. endotrach.";true;false
"00299";"tabl. D";"compr. D";true;false
"00300";"inf. oploss. (pdr.) i.arter. [flac.]";"sol. perf. (pdr) i.artér. [flac.]";true;false
"00301";"verband Talon";"pansement Talon";true;false
"00302";"verband Border Heel";"pansement Border Heel";true;false
"00303";"bruisgran. (zakjes)";"gran. efferv. (sachet)";true;false
"00304";"verband Border";"pansement Border";true;false
"00305";"inj./inf. oploss. (pdr. + solv.) i.v. [flac. + amp.]";"sol. inj./perf. (pdr + solv.) i.v. [flac. + amp.]";true;false
