"mppcv";"Stofcv";"ppid";"hyr_";"hyrcv_";"mpcv_";"mppnm_";"ppq";"ppgal";"InRank";"StofNm_";"Dim";"InX";"InQ";"InU";"Add";"InBasQ";"InBasU";"InQ2";"InU2";"Amb";"Hosp"
"2631364";"01071";"1";"AADF";"0000166";"6106-1636";"Co-Losartan Sandoz 50/12,5 filmomh. tabl. 98x";0;"filmomh. tabl.";1;"losartan kalium";;;50.0000;"mg";;0.0000;;0.0000;;true;false
"2631364";"00866";"1";"AADF";"0000166";"6106-1636";"Co-Losartan Sandoz 50/12,5 filmomh. tabl. 98x";0;"filmomh. tabl.";2;"hydrochloorthiazide";;;12.5000;"mg";;0.0000;;0.0000;;true;false
"2656320";"01071";"1";"AADF";"0000166";"6114-1818";"Co-Losartan Teva 100/25 filmomh. tabl. (deelb.) 98x";0;"filmomh. tabl. (deelb. kwantit.)";1;"losartan kalium";;;100.0000;"mg";;0.0000;;0.0000;;true;false
"2656320";"00866";"1";"AADF";"0000166";"6114-1818";"Co-Losartan Teva 100/25 filmomh. tabl. (deelb.) 98x";0;"filmomh. tabl. (deelb. kwantit.)";2;"hydrochloorthiazide";;;25.0000;"mg";;0.0000;;0.0000;;true;false
"2656312";"01071";"1";"AADF";"0000166";"6114-1818";"Co-Losartan Teva 50/12,5 filmomh. tabl. (deelb.) 98x";0;"filmomh. tabl. (deelb. kwantit.)";1;"losartan kalium";;;50.0000;"mg";;0.0000;;0.0000;;true;false
"2656312";"00866";"1";"AADF";"0000166";"6114-1818";"Co-Losartan Teva 50/12,5 filmomh. tabl. (deelb.) 98x";0;"filmomh. tabl. (deelb. kwantit.)";2;"hydrochloorthiazide";;;12.5000;"mg";;0.0000;;0.0000;;true;false
"4729240";"02768";"1";"MCCA";"8905697";"47902-1628";"Columvi inf. oploss. (conc.) i.v. [flac.] 1x 10mg/10ml";0;"inf. oploss. (conc.) i.v. [flac.]";1;"glofitamab";;;10.0000;"mg";"/";10.0000;"ml";0.0000;;true;false
"4729232";"02768";"1";"MCCA";"8905697";"47902-1628";"Columvi inf. oploss. (conc.) i.v. [flac.] 1x 2,5mg/2,5ml";0;"inf. oploss. (conc.) i.v. [flac.]";1;"glofitamab";;;2.5000;"mg";"/";2.5000;"ml";0.0000;;true;false
"3951373";"00745";"1";"PGA";"0015537";"41186-2444";"Combiflure 1,25/3 ocul. druppels oploss. 5ml";0;"ocul. druppels oploss.";1;"fluoresceïne natrium";;;1.2500;"mg";"/";1.0000;"ml";0.0000;;true;false
"3951373";"01335";"1";"PGA";"0015537";"41186-2444";"Combiflure 1,25/3 ocul. druppels oploss. 5ml";0;"ocul. druppels oploss.";2;"oxybuprocaïne hydrochloride";;;3.0000;"mg";"/";1.0000;"ml";0.0000;;true;false
