"MPcv";"Hyrcv";"Hyr_";"MPnm";"IRCV";"BT";"note";"pos";"WadaN";"WadaF";"rank";"nmcv";"Orphan";"SpecRules";"Narcotic";"Amb";"Hosp"
"20685-1438";"0014431";"OFAA";"Pangel";"01438";false;;;;;0;0;false;false;false;true;false
"331-2006";"8903080";"OFEA";"Acneplus";"02006";false;;;;;0;0;false;false;false;true;false
"3566-1446";"8901001";"MBCBA";"Bosulif";"01446";false;;;;;0;0;false;false;false;true;false
"5777-455";"0003400";"CGAA";"Clipper";"00455";false;;;"C";"C";0;0;false;false;false;true;false
"3277-612";"0004820";"MEDC";"Bicalutamide EG";"00612";false;;;;;0;0;false;false;false;true;false
"3285-1636";"0004820";"MEDC";"Bicalutamide Sandoz";"01636";false;;;;;0;0;false;false;false;true;false
"4192-299";"0014076";"OACC";"Canestene Derm";"00299";false;;;;;0;0;false;false;false;true;false
"19265-59";"0011114";"KDCBE";"Norvir";"00059";false;;;;;0;0;false;false;false;true;false
"33571-2303";"0009373";"JKAA";"Donepezil Krka";"02303";false;;;;;0;0;false;false;false;true;false
"8409-3624";"0003210";"CEDAA";"Dulcolax Bisacodyl";"03624";false;;;;;0;0;false;false;false;true;false
"15586-1180";"0000125";"AADA";"Lodoz";"01180";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"3442-1818";"0000612";"AEB";"Bisoprolol Teva";"01818";false;;;"B";"B";0;0;false;false;false;true;false
"5926-612";"0000125";"AADA";"Co-Bisoprolol EG";"00612";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"3434-1636";"0000612";"AEB";"Bisoprolol Sandoz";"01636";false;;;"B";"B";0;0;false;false;false;true;false
"5934-1289";"0000125";"AADA";"Co-Bisoprolol Viatris";"01289";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"4622-1602";"0013862";"OAAA";"Cedium Benzalkonium";"01602";false;;;;;0;0;false;false;false;true;false
"18200-2162";"0006171";"GABA";"Myocholine-Glenwood";"02162";false;;;;;0;0;false;false;false;true;false
"8961-1180";"0000125";"AADA";"Emcoretic";"01180";false;;;"B,D";"B,D";0;0;false;false;false;true;false
"1511-612";"0009530";"KAAACA";"Amoxicilline EG";"00612";false;;;;;0;0;false;false;false;true;false
"3376-612";"0003210";"CEDAA";"Bisacodyl EG";"00612";false;;;;;0;0;false;false;false;true;false
"22426-257";"0003756";"DADBA";"Pulmicort";"00257";false;;;"c";"c";0;0;false;false;false;true;false
"3855-1636";"0003756";"DADBA";"Budesonid Sandoz";"01636";false;;;"c";"c";0;0;false;false;false;true;false
"6353-59";"0025973";"PDFA";"Combigan";"00059";false;;;"B";"B";0;0;false;false;false;true;false
"3574-59";"0009100";"JHD";"Botox";"00059";false;;;;;0;0;false;false;false;true;false
"3483-1206";"0009100";"JHD";"Bocouture";"01206";false;;;;;0;0;false;false;false;true;false
"29074-59";"0009100";"JHD";"Vistabel";"00059";false;;;;;0;0;false;false;false;true;false
