"mppcv";"hyr_";"hyrcv";"ogc";"mpcv";"ouc";"mppnm";"VolgNr";"GalCV";"spef";"cq";"cu";"cfq";"cfu";"aq";"au";"afq";"afu";"atype";"cmucomb";"law";"ssecr";"pupr";"use";"note";"pos";"Content_";"GalNm_";"Index";"RemA";"RemW";"InnCnk";"VosNm_";"BT";"gdkp";"Excip";"Cheapest";"SpecRules";"Narcotic";"Amb";"Hosp"
"3214467";"KDCGA";"0020339";"B";"30775-1966";"U";"Triumeq 50/600/300 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"a4";884.2500;;;;;"filmomh. tabl.";6.6700;2.0000;1.0000;"33613";"dolutegravir + abacavir + lamivudine oraal 50 mg + 600 mg + 300 mg";false;false;;true;false;false;true;false
"4689576";"KDCGA";"0020339";"B";"30775-1966";"U";"Triumeq 5/60/30 disp. tabl. 90x";;"00206";;90;"x";;;;;0.0000;;;;"R";"a4";272.9500;;;;;"disp. tabl.";2.2200;2.0000;1.0000;"47498";"dolutegravir + abacavir + lamivudine oraal 5 mg + 60 mg + 30 mg";false;false;;true;false;false;true;false
"4235461";"KDCGA";"0020339";"B";"30775-3269";"U";"Triumeq (Abacus) 50/600/300 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"a4";884.2500;;"parallelle distributie";;;"filmomh. tabl.";6.6700;2.0000;1.0000;"33613";"dolutegravir + abacavir + lamivudine oraal 50 mg + 600 mg + 300 mg";false;false;;true;false;false;true;false
"4201976";"KDCGA";"0020339";"B";"30775-3418";"U";"Triumeq (Orifarm Belgium) 50/600/300 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"a4";884.2500;;"parallelle distributie";;;"filmomh. tabl.";6.6700;2.0000;1.0000;"33613";"dolutegravir + abacavir + lamivudine oraal 50 mg + 600 mg + 300 mg";false;false;;true;false;false;true;false
"4980546";"KDCGA";"0020339";"B";"30775-1529";"U";"Triumeq (PI-Pharma) 50/600/300 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";"a4";884.2500;;"parallelle distributie";;;"filmomh. tabl.";6.6700;2.0000;1.0000;"33613";"dolutegravir + abacavir + lamivudine oraal 50 mg + 600 mg + 300 mg";false;false;;true;false;false;true;false
"4332292";"DAFA";"0028613";"B";"43752-257";"U";"Trixeo 5/7,2/160 dosisaerosol susp. Aerosphere 1x120dos.";;"00645";;1;"x";"120.0";"dos.";;;0.0000;;;;"R";"b";63.4500;;"bevat drijfgas HFO-1234ze(E)";"COPD, onderhoudsbehandeling van matige tot ernstige vormen: 2 x/dag 2 doses";;"dosisaerosol susp. Aerosphere";10.6700;12.8000;8.5000;"44735";"formoterol + glycopyrronium + budesonide inhalatie 5 µg + 7,2 µg + 160 µg / 1 dos. [no switch: inhalatie]";false;false;;true;false;false;true;false
"4332284";"DAFA";"0028613";"B";"43752-257";"U";"Trixeo 5/7,2/160 dosisaerosol susp. Aerosphere 3x120dos.";;"00645";;3;"x";"120.0";"dos.";;;0.0000;;;;"R";"b";163.8900;;"bevat drijfgas HFO-1234ze(E)";"COPD, onderhoudsbehandeling van matige tot ernstige vormen: 2 x/dag 2 doses";;"dosisaerosol susp. Aerosphere";3.5600;12.8000;8.5000;"44735";"formoterol + glycopyrronium + budesonide inhalatie 5 µg + 7,2 µg + 160 µg / 1 dos. [no switch: inhalatie]";false;false;;true;false;false;true;false
"1170232";"HBDD";"0019901";;"27664-1164";"U";"Troc 200/200/50 oplosb. tabl. 20x";;"00379";;20;"x";;;;;0.0000;;;;;;4.0700;;;;;"oplosb. tabl.";20.3500;4.0700;4.0700;"24760";"paracetamol + acetylsalicylzuur + coffeïne oraal 200 mg + 200 mg + 50 mg";false;false;;false;false;false;true;false
"3119336";"HBDD";"0019901";;"27664-1164";"U";"Troc 200/200/50 oplosb. tabl. 40x";;"00379";;40;"x";;;;;0.0000;;;;;;6.5000;;;;;"oplosb. tabl.";16.2500;6.5000;6.5000;"24760";"paracetamol + acetylsalicylzuur + coffeïne oraal 200 mg + 200 mg + 50 mg";false;false;;false;false;false;true;false
"4432969";"MBBA";"8906083";;"46375-794";"O";"Trodelvy inf. oploss. conc. (pdr.) i.v. [flac.] 1x 200mg";;"00076";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"inf. oploss. conc. (pdr.) i.v. [flac.]";0.0000;0.0000;0.0000;"46920";"sacituzumab govitecan infusie 200 mg [NOVOS: biological]";true;false;;false;false;false;true;false
"4235453";"EAGA";"0025262";"B";"32391-3269";"O";"Trulicity (Abacus) inj. oploss. s.c. [voorgev. pen] 4x 1,5mg/0,5ml";;"00019";;4;"x";;;;;0.0000;;;;"R";"a4";104.0500;;"parallelle distributie";;;"inj. oploss. s.c. [voorgev. pen]";50.0000;2.0000;1.0000;"35550";"dulaglutide injectie 1,5 mg / 0,5 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"3275971";"EAGA";"0025262";"B";"32391-570";"O";"Trulicity inj. oploss. s.c. [voorgev. pen] 4x 0,75mg/0,5ml";;"00019";;4;"x";;;;;0.0000;;;;"R";"a4";104.0500;;;;;"inj. oploss. s.c. [voorgev. pen]";50.0000;2.0000;1.0000;"35543";"dulaglutide injectie 0,75 mg / 0,5 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"3275989";"EAGA";"0025262";"B";"32391-570";"O";"Trulicity inj. oploss. s.c. [voorgev. pen] 4x 1,5mg/0,5ml";;"00019";;4;"x";;;;;0.0000;;;;"R";"a4";104.0500;;;;;"inj. oploss. s.c. [voorgev. pen]";50.0000;2.0000;1.0000;"35550";"dulaglutide injectie 1,5 mg / 0,5 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"3598034";"LABEA";"0026260";;"41194-1446";"O";"Trumenba inj. susp. i.m. [voorgev. spuit] 1x0,5ml";;"00072";;1;"x";"0.5";"ml";;;0.0000;;;;"R";;76.9800;;"bevat aluminium";;;"inj. susp. i.m. [voorgev. spuit]";15396.0000;76.9800;76.9800;"37143";"meningokokken type B injectie [NOVOS: biological]";false;false;;false;false;false;true;false
"4853503";"MBCLA";"8900706";;"49460-257";"O";"Truqap filmomh. tabl. 64x 160mg";;"00003";;64;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"49593";"capivasertib oraal 160 mg [no switch: onco]";true;false;;false;false;false;true;false
"4853511";"MBCLA";"8900706";;"49460-257";"O";"Truqap filmomh. tabl. 64x 200mg";;"00003";;64;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"49601";"capivasertib oraal 200 mg [no switch: onco]";true;false;;false;false;false;true;false
"1531276";"PDEA";"0015453";"B";"27698-2444";"O";"Trusopt ocul. druppels oploss. Ocumeter Plus 5ml 20mg/1ml";;"00153";;1;"x";"5.0";"ml";;;0.0000;;;;"R";"b";12.8000;;"bevat benzalkonium chloride";;;"ocul. druppels oploss. Ocumeter Plus";48.2000;2.4100;1.4500;"9811";"dorzolamide druppels oculair 20 mg / 1 ml [no switch: lokaal]";false;false;;true;false;false;true;false
"2578367";"KDCADA";"0011049";;"27706-794";"U";"Truvada 200/245 filmomh. tabl. 30x";;"00003";;30;"x";;;;;0.0000;;;;"R";;159.4300;;;;;"filmomh. tabl.";531.4300;159.4300;159.4300;"10280";"emtricitabine + tenofovir oraal 200 mg + 245 mg";false;false;;false;false;false;true;false
"4178927";"MBAA";"0013201";;"38109-3269";"O";"Truxima (Abacus) inf. oploss. (conc.) i.v. [flac.] 1x 500mg/50ml";;"00009";;1;"x";;;;;0.0000;;;;;;0.0000;"H";"parallelle distributie";;;"inf. oploss. (conc.) i.v. [flac.]";0.0000;0.0000;0.0000;"27763";"rituximab infusie 500 mg / 50 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"4219754";"MBAA";"0013201";;"38109-3269";"O";"Truxima (Abacus) inf. oploss. (conc.) i.v. [flac.] 2x 100mg/10ml";;"00009";;2;"x";;;;;0.0000;;;;;;0.0000;"H";"parallelle distributie";;;"inf. oploss. (conc.) i.v. [flac.]";0.0000;0.0000;0.0000;"27755";"rituximab infusie 100 mg / 10 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"3560406";"MBAA";"0013201";;"38109-3343";"O";"Truxima inf. oploss. (conc.) i.v. [flac.] 1x 500mg/50ml";;"00009";;1;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"inf. oploss. (conc.) i.v. [flac.]";0.0000;0.0000;0.0000;"27763";"rituximab infusie 500 mg / 50 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"3584646";"MBAA";"0013201";;"38109-3343";"O";"Truxima inf. oploss. (conc.) i.v. [flac.] 2x 100mg/10ml";;"00009";;2;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"inf. oploss. (conc.) i.v. [flac.]";0.0000;0.0000;0.0000;"27755";"rituximab infusie 100 mg / 10 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"3109840";"CACA";"0002659";;"30643-950";"U";"Tryplera 140/125/125 harde caps. 120x";;"00014";;120;"x";;;;;0.0000;;;;"R";;76.3500;;;;;"harde caps.";63.6300;76.3500;76.3500;"33415";"bismut + metronidazol + tetracycline oraal 140 mg + 125 mg + 125 mg";false;false;;false;false;false;true;false
"4937058";"FBCAA";"0020826";;"49593-3384";"O";"T-Safe CU 380A QL i.uter. systeem 1x";;"00081";;1;"x";;;;;0.0000;;;;"R";"aJ";88.2900;;;;;"i.uter. systeem";0.0000;0.0000;0.0000;"34512";"koperhoudende intra-uteriene devices (koperspiraaltjes) [NOVOS: geen geneesmiddel]";false;false;;false;false;false;true;false
"1445014";"SCA";"0016345";;"27714-2162";"O";"Tuberculin PPD RT23 SSI inj. oploss. i.derm. [flac.] 10x1,5ml 2TE/0,1ml";;"00426";;10;"x";"1.5";"ml";;;0.0000;;;;"R";;209.2000;;;;;"inj. oploss. i.derm. [flac.]";1394.6700;209.2000;209.2000;"14613";"tuberculine injectie 2 TE / 0,1 ml [NOVOS: biological]";false;false;;false;false;false;true;false
"4420584";"MBCLA";"8900706";;"47332-1446";"O";"Tukysa filmomh. tabl. 84x 150mg";;"00003";;84;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"47597";"tucatinib oraal 150 mg";false;false;;false;false;false;true;false
"4420592";"MBCLA";"8900706";;"47332-1446";"O";"Tukysa filmomh. tabl. 88x 50mg";;"00003";;88;"x";;;;;0.0000;;;;;;0.0000;"H";;;;"filmomh. tabl.";0.0000;0.0000;0.0000;"47589";"tucatinib oraal 50 mg";false;false;;false;false;false;true;false
"4664314";"TCA";"0018671";;"47092-1982";"U";"Tussioban siroop oploss. 200ml";;"00135";;1;"x";"200.0";"ml";;;0.0000;;;;;;13.3800;;;;;"siroop oploss.";6.6900;13.3800;13.3800;"47464";"homeopathie groep Tussioban oraal [NOVOS: homeopathisch middel]";false;false;;false;false;false;true;false
